"","Date","TN_Stream_Change","TN_Lake_Change","TP_Stream_Change","TP_Lake_Change","Nitrate_Stream_Change","Nitrate_Lake_Change","SRP_Stream_Change","SRP_Lake_Change","DOC_Stream_Change","DOC_Lake_Change","Percent_Q_Change"
"1","2019-12-08",29.705990771962,-48.9853891088199,29.0196872203665,-48.9253448159818,29.7948553052466,-49.5059670578991,12.8690275862355,-65.1198855196502,28.1476998768324,-47.3161262659344,NA
"2","2019-12-15",0.870096924564156,-5.64704173079264,1.08885844376303,-5.69649189256321,0.955346978204536,-6.1539691841304,3.60351481254941,-34.0085310395026,1.20260459437928,-5.07869862333559,NA
"3","2020-01-06",-0.110655300655743,-5.18615546773917,-0.162640161624674,-0.61498789455228,-0.213262088523408,-5.90783837664799,4.50899948840247,-20.5465811484735,NA,1.50476347950825,NA
"4","2020-01-13",-0.855299503873448,-2.27608492391814,-0.072334596222163,-0.119911249498807,-0.701384233697517,-2.80703386002568,6.70373211665137,-36.9344701627392,NA,NA,NA
"5","2020-01-31",-0.469512524578761,-2.40456724322688,-0.0943856767121038,-0.687968073446668,-0.253365263859264,-3.154081147749,-1.41590419299527,91.2495974641034,-0.11812317222048,1.395956317229,NA
"6","2020-02-16",-0.254480036995496,-1.90343236627383,-0.0549392994644405,-0.425779857296057,0.0140359325691897,-2.65615549246669,-0.8531872397458,62.0992662319983,-0.0189505335202376,0.927994704932529,NA
"7","2020-03-01",NA,NA,NA,NA,-0.278233546092823,-2.05979217646675,-0.487836202413113,28.4830555715231,-0.0648506056839242,0.0459256101480374,NA
"8","2020-03-08",0.0354992634593874,-2.16116743929378,-0.0934021580245389,-0.719010488631412,-0.256576205864365,-2.40694006340228,-0.990543526524622,69.2645718636826,-0.154333853027661,0.451689423144863,NA
"9","2020-05-22",-0.612417624328188,-4.45200046422897,-0.140315418308643,-0.158252109444724,-0.815113835740751,-4.91534066186066,3.09472140342084,14.7538920996818,-0.277244615412995,1.6153989027202,NA
"10","2020-06-01",-0.568370883249698,-1.1792165307273,-0.366074640414279,-0.456640894722305,-0.845398006783959,-2.35852731226454,1.86763585337657,-9.33681927550164,-0.451006670499849,1.60753839563873,NA
"11","2020-06-08",-1.03624924292025,-1.36458030783961,-0.78474044779562,-1.59654977148995,-1.16901877633247,-1.7234789100358,-4.48415172958113,-19.44287530725,-0.872196720639264,0.118738355379513,NA
"12","2020-06-15",-2.6807716552152,-2.5588875359297,-2.16755971602052,-3.15689990170953,-2.58595523254884,-3.03317295897702,-9.33017410573579,-15.4490778193908,-2.28667412291463,-1.57491738510143,NA
"13","2020-07-13",-10.4435477350459,-9.59520055933299,-10.2155544125577,-11.4644763781198,-10.3730472825336,-10.0955094582053,-32.651756900655,-53.8026883593951,-10.8562104384338,-10.2931587256473,NA
"14","2020-07-20",-36.8615780030439,-15.4539839001641,-36.8580167200178,-16.6635815107932,-36.7805960411763,-15.7561468727062,-43.7165200623401,-58.0879147131238,-37.7432923634176,-15.7627528395672,NA
"15","2020-07-28",-20.1801234568219,-10.796643203784,-19.8473179982415,-11.2710295272886,-20.0204657698525,-11.0337531158248,-52.0335208519041,-54.2190664966458,-20.3546354137415,-10.1890480432647,NA
"16","2020-08-04",-1.21556592342281,-2.13952109690935,-1.00554585554137,-2.15661161880905,-1.2021196238511,-2.57844895993438,-15.0511551525004,-50.2606828243667,-0.911888293647094,-2.17496654299088,NA
"17","2020-08-18",-9.52244275505845,-44.7155983690289,-9.50835456835059,-45.1545446700776,NA,NA,NA,NA,-10.1500639051089,-44.0277633350438,NA
"18","2020-11-03",-21.5572798920571,-5.73917714925682,-21.2974686754114,-6.8891035714677,-21.4635762651345,-6.68312581918503,-49.869083663952,-31.5208886915221,-22.2027580241017,-7.04673711375608,NA
"19","2020-11-17",-16.939378332718,-5.45128426320634,-16.8373197822024,-6.75560697033493,-16.8199383360056,-6.38866020898508,-42.4587209202122,-34.7980562129268,-18.1445839130472,-5.24530155068641,NA
"20","2020-12-02",-0.525451381379949,-3.43596087394768,-0.53225440673792,-0.995573529823448,-0.44372016901437,-4.19228074921126,-8.94955990113395,-59.3452252032033,-0.692221478820173,0.461032279672769,NA
"21","2020-12-14",-0.925868577071816,-3.2523754873569,-0.958169706220053,-2.55920230689105,-0.921654193947248,-4.05995536857106,-8.33624191550123,-27.5173411893499,-1.15317065286269,-0.557644653077678,NA
"22","2021-01-12",-0.234815652275891,-6.75612079011297,-0.000919691204034345,-1.3290625504544,-0.038201409798492,-3.75144479172039,-0.363716358005618,13.2156180580286,NA,NA,NA
"23","2021-01-27",-0.0797518325617892,-0.918629785482493,0.0056415451827232,-0.645764318593267,-0.174078265594839,-1.25083324550098,-2.74103108222459,-5.37582491711442,NA,NA,45.0816546213504
"24","2021-02-24",-0.511765233747282,-1.79525713788278,-0.0377585941856069,-0.231641566161179,-0.195957939125802,-2.3702811420734,-13.8523723829688,-90.5476382820898,0.0875879423227026,-0.580069494080472,NA
"25","2021-03-10",-0.130667801906612,0.204678669628803,-0.00256493663661428,-0.473226375264081,-0.109031936458221,-0.175478970885784,-0.632360609576725,84.4645493541389,-0.130039747007896,1.84848676653083,147.626856020009
"26","2021-03-24",-0.132977424820955,-0.477324589440733,-0.00115857353554061,-0.194110800927004,-0.129150146246232,-0.652249056453505,-1.31383196916062,60.0446994478961,-0.0251488532328419,1.77975230111291,27.9714171810569
"27","2021-04-07",-0.00742838945286817,-0.403575339372967,-0.000392067860171652,-0.837880285868354,-0.099078458426737,-0.930671175001585,-0.0436397480764787,-2.501611693625,-0.0067971650888734,0.134115724854881,NA
"28","2021-04-21",-0.190686477758399,-0.370093692426114,-0.000884668079614626,-0.72803095954922,-0.196753709535358,-0.808050390228853,0.323726479442282,-3.83724603573114,-0.0151008447169518,0.326779829323565,100.807141826495
"29","2021-04-29",-0.565664842674567,0.371247065737279,NA,NA,-0.329954047114443,0.224914841770719,-93.1042490580498,-18.0052241206953,NA,NA,-27.9968473148683
"30","2021-05-05",-0.559154246398908,-5.98842235167303,0.0127022867451037,-0.175112776171046,-0.286252054616142,-5.67950208008499,4.95816936055931,-89.9859516207549,0.291832734533701,-1.54796644988404,136.045429654695
"31","2021-05-10",-0.375728226033891,-5.42542717859731,NA,NA,NA,NA,NA,NA,NA,NA,88.5360667998695
"32","2021-05-18",-0.139941952849457,-1.32896178873302,-0.00195070468330349,-0.780619219109923,-0.311292179136117,-1.94712557105637,-1.58527222035588,-6.45822537442096,0.00293726780945125,0.239574466991298,289.387728772051
"33","2021-06-01",-0.558276492887853,-1.57640902877258,-0.0059479862942946,-1.63455363826761,-0.421205294382719,-1.89803521624076,-4.25791807235598,-15.9093519943994,-0.0361728639711862,-0.309875924954706,244.984463762729
"34","2021-06-09",-0.522715410595641,-0.759556538527112,NA,NA,-0.454571997026624,-0.964520337524807,5.25467245223133,-71.0315345896472,0.129619691664185,0.125572639528642,1289.42730366103
"35","2021-06-15",-0.228762388599309,-0.62258625455576,-0.00611929991525284,-0.90761303919155,-0.292518934389005,-1.6754876741474,-2.56538937231458,-24.8033098199929,-0.0723887648117416,1.08315958047857,3303.74707451102
"36","2021-06-29",-0.616041978781291,-0.012604232279128,-0.0165121400431005,-1.55900286009803,-0.379054497431772,-0.687043146394302,-8.83939608435102,-42.5227801845212,-0.208760721273994,0.864588994069778,268.811048797385
"37","2021-07-13",-0.252831299435597,0.717223850563004,-0.0105759798701803,-2.12765089989536,-0.11287552508273,0.226766134885554,-3.2012382897977,-32.8072209559187,-0.109594182492447,-0.673716552153751,374.214662319683
