"","Date","Site","Stream","Q","TN_Load","TP_Load","Nitrate_Load","Ammonium_Load","SRP_Load","DOC_Load"
"1",2019-12-08,"1","BD",NA,NA,NA,NA,NA,NA,NA
"2",2019-12-08,"10","FM",0.014969266638406,0.022956024486775,0.000333976957794615,0.0193103539635438,-8.68217465027551e-05,0.258968312844425,0.0526918185671893
"3",2019-12-08,"11","FM",0.014969266638406,0.0227506565811856,0.000321069632789316,0.0194600466299279,-4.34108732513775e-05,0.251483679525222,0.0540390525646458
"4",2019-12-08,"12","FM_Branch",0.0114956483149639,0.00822942693201835,0.000403921249852034,0.0166686900566977,7.42618881146669e-05,0.287391207874098,0.0455227673272571
"5",2019-12-08,"14","EF",0.0034475717994913,0.00509780887020403,0.000104415572819653,0.00444736762134377,-8.96368667867737e-06,0.101358610905044,0.0121009770162144
"6",2019-12-08,"15","EF",0.0034475717994913,0.00519240543487659,0.000101814472981375,0.00448184333933868,7.23990077893172e-06,0.100324339365197,0.0120320255802246
"7",2019-12-08,"16","MB",0.00311327310632383,0.00221589530465195,8.79152366921472e-05,0.00148191799861014,2.80194579569145e-06,0.0825017373175815,0.0105539958304378
"8",2019-12-08,"18","MB",0.00311327310632383,0.0028309472010858,0.000155697210173732,0.00200183460736622,3.50865879082696e-05,0.146635163307853,0.0130757470465601
"9",2019-12-08,"19","MB",0.00311327310632383,0.00340755835399253,0.00017247492847811,0.00212636553161918,4.2060319666435e-05,0.13978596247394,0.0150371091035441
"10",2019-12-08,"20","MB",0.00311327310632383,0.00438993291079659,0.000106035167977762,0.00235986101459346,3.11327310632381e-07,0.0681806810284919,0.0151616400277971
"11",2019-12-08,"22","DE",0.00234989542738012,0.00176282455712917,5.57207368233055e-05,0.00140758736100069,3.99482222654621e-06,0.057807427513551,0.00448830026629603
"12",2019-12-08,"23","DE",0.00234989542738012,0.00219805007873202,7.8768858959573e-05,0.00198096184528144,-1.40993725642807e-06,0.0871811203558025,0.0056632479799861
"13",2019-12-08,"24","DE",0.00234989542738012,0.00243339424967282,6.73714361059161e-05,0.00210315640750521,-4.69979085476024e-06,0.0695569046504516,0.0057102458885337
"14",2019-12-08,"25","DE",0.00234989542738012,0.00232700578883657,9.75112888533107e-05,0.00194101362301598,-5.8747385684503e-06,0.0904709739541347,0.00690869255649756
"15",2019-12-08,"4","LF",0.0413250182871246,0.0183011605200766,0.00161237947825929,0.00636405281621719,-0.000128107556690086,1.4587731455355,0.187615583023546
"16",2019-12-08,"5","LF",0.0413250182871246,0.01807438034015,0.0016836448442206,0.00739717827339531,9.09150402316742e-05,1.47943565467906,0.179763829548992
"17",2019-12-08,"6","LF",0.0413250182871246,0.0327017019454157,0.00166137441994051,0.0207864841984237,0.000242991107528293,1.3595931016464,0.183896331377705
"18",2019-12-08,"8","FM",0.014969266638406,0.0215184491476497,0.000354951355314751,0.0191606612971597,4.04170199236963e-05,0.257471386180584,0.0532905892327255
"19",2019-12-15,"1","BD",NA,NA,NA,NA,NA,NA,NA
"20",2019-12-15,"10","FM",0.0254345061466723,0.0609883795351268,0.000975930597710895,0.0536668079694786,0.000127172530733362,0.778295888088174,0.0803730394234846
"21",2019-12-15,"11","FM",0.0254345061466723,0.0557542240652395,0.0010060857736329,0.0541754980924121,2.03476049173379e-05,0.79101314116151,0.0793556591776177
"22",2019-12-15,"12","FM_Branch",0.019532428995337,0.0516595096957206,0.000995779149111913,0.0462918567189488,0.000282653779991522,0.730512844425605,0.0621131242051717
"23",2019-12-15,"14","EF",0.00585782111064011,0.0134033119060579,0.000200774639457736,0.0122428461212378,-4.68625688851208e-06,0.167533683764307,0.0180420890207715
"24",2019-12-15,"15","EF",0.00585782111064011,0.0143676945830736,0.000208351039841458,0.0132386757100466,4.38750801186944e-05,0.166947901653243,0.0182764018651971
"25",2019-12-15,"16","MB",0.0814639297295024,0.105928814100182,0.00268678190653543,0.0790200118376173,0.00108754346188886,1.99586627837281,0.3437777834585
"26",2019-12-15,"18","MB",0.0814639297295024,0.115987469163503,NA,0.0896103227024527,0.000391026862701612,2.04474463621051,0.360070569404401
"27",2019-12-15,"19","MB",0.0814639297295024,0.121575610865349,0.00292385090308055,0.0961274370808128,0.0011773981763805,1.92254874161626,0.372290158863826
