"","Date","TN_Stream_Change","TN_Lake_Change","TP_Stream_Change","TP_Lake_Change","Nitrate_Stream_Change","Nitrate_Lake_Change","SRP_Stream_Change","SRP_Lake_Change","DOC_Stream_Change","DOC_Lake_Change","Percent_Q_Change"
"1","2019-12-08",145.022733078704,-97.600541239265,145.487565024197,-99.9165764835925,147.308863263545,-98.9704317403462,23.1703795459256,-95.1907535365558,116.609506448774,-90.494610415922,NA
"2","2019-12-15",14.4477178657004,-81.9304761067902,23.4462425768925,-99.3645428282688,16.7146627923386,-92.2500016754703,11.0216027651907,-93.6912047556198,14.2554669287875,-52.6907087958939,NA
"3","2020-01-06",-1.28872373958757,-61.1880158979776,-18.0546249319942,-83.3110855517231,-2.42588614893334,-68.8732768937602,8.03205153315249,-33.8792076311307,NA,46.9470340141198,NA
"4","2020-01-13",-10.2532980819339,-30.4029221596422,-14.7932803793536,-28.7809092290244,-8.89131667926688,-39.0569171468416,4.43278410412068,-23.3859461615194,NA,NA,NA
"5","2020-01-31",-5.67286172646081,-30.8003239089425,-9.06374959281726,-72.6495696803958,-3.02798788777143,-38.871698351501,-4.02630905744786,270.365953019527,-4.20043256006722,51.8163950405278,NA
"6","2020-02-16",-3.01086610593427,-23.2194587605189,-9.31328992968669,-79.5905435950196,0.158202698627202,-29.8909409667484,-4.45437380367549,339.326646784934,-0.893490249292756,44.1480669487439,NA
"7","2020-03-01",NA,NA,NA,NA,-3.26257864533404,-24.9678068538803,-7.38610757383137,465.641888765948,-2.60556689334711,1.89456273868072,NA
"8","2020-03-08",0.467301439647047,-28.3166227607983,-9.98305143184057,-85.3723697750067,-3.12003037950147,-30.2115999900518,-5.15211165342058,379.835183171468,-6.32607978184245,19.7649031916897,NA
"9","2020-05-22",-5.94454769914393,-45.9454342354558,-32.684174140689,-54.760127402364,-7.77005263143864,-50.8027658523332,7.12226157303823,31.697370124433,-9.74208173607068,62.8902208455391,NA
"10","2020-06-01",-6.89141662920177,-15.3560856087706,-39.0568086385915,-79.9423147055544,-9.66840378819652,-29.8603425552799,10.928760065613,-49.2530900875752,-16.3914908494671,69.8789491896376,NA
"11","2020-06-08",-13.9415814570924,-21.33307955982,-32.3353367269886,-97.2236422668283,-15.1771389480763,-26.3791914501849,-14.7567964583901,-75.0606837141671,-19.3801753032977,3.27259627363321,NA
"12","2020-06-15",-27.4171160864154,-36.0561147311411,-40.3557548519988,-98.5432018351366,-26.4706858365519,-42.2260883358847,-28.6824121477225,-66.5934997057417,-30.2366473250716,-29.8510622920065,NA
"13","2020-07-13",-46.7183107895406,-80.5592004379531,-47.0289332760095,-99.6365523833158,-47.0037411344837,-86.3195356669352,-38.7537497871783,-104.263343771312,-43.4520094029081,-72.8556277256554,NA
"14","2020-07-20",-68.2621588179611,-90.171473970014,-68.7987695398315,-99.6885633282524,-68.6759389015092,-93.9199387812974,-41.1509885233907,-92.9140310896037,-65.8557764423523,-80.5506256264609,NA
"15","2020-07-28",-63.1035613166152,-91.502793156246,-63.6777779722707,-99.5582492700713,-63.5545749594954,-96.1065271982561,-45.969017999102,-88.6525409926252,-59.2450532636923,-72.7682694116013,NA
"16","2020-08-04",-28.2775194777545,-69.3943425289266,-31.1475014355775,-97.0227477490614,-30.3752063521095,-93.5763644119826,-20.671302319387,-87.0153889579088,-13.1266352196934,-36.0394134333177,NA
"17","2020-08-18",-17.2775854161873,-98.0777563592168,-17.3660413005992,-99.8017989912045,NA,NA,NA,NA,-17.4092139019265,-91.4335134386816,NA
"18","2020-11-03",-74.617677018943,-78.2647186205511,-75.3368984241039,-98.8086056817804,-75.3512401203941,-95.1859572281638,-52.0065679851092,-68.4925684569164,-65.9844011838778,-61.5664770536006,NA
"19","2020-11-17",-70.5850164008333,-77.2227513413313,-71.0627952998927,-98.5319607301818,-71.082380508739,-93.3651535202076,-53.9865999191995,-96.1589536839962,-64.6499606666371,-52.8690870234008,NA
"20","2020-12-02",-9.24841322830886,-66.6390305726442,-33.018262596944,-92.2044505527755,-8.15362172263368,-83.8744552288867,-12.7514245257422,-96.9135411950749,-15.0020176664641,11.7551268278746,NA
"21","2020-12-14",-15.1563094988897,-62.7516642692835,-26.5954294516288,-96.7711914062313,-15.4962121211771,-80.779773611984,-22.5770123441947,-96.2570845854017,-18.8709786686186,-11.2481771506454,NA
"22","2021-01-12",-3.51475374902576,-104.810394629764,-0.0642940068106351,-92.9722186714149,-0.580599756103502,-57.3488718649533,-1.15656073870096,42.5152994281811,NA,NA,NA
"23","2021-01-27",-1.80975088245698,-21.2300143048255,0.803242701826871,-91.2112188422063,-4.03902180234273,-30.2438026693086,-12.8887461424001,-29.0180056281767,NA,NA,45.0816546213504
"24","2021-02-24",-8.4613750702851,-32.4259303314956,-9.78761894542588,-66.5597348789723,-3.59804144115271,-45.1457946333394,-8.02942935695886,-57.0674897934185,2.3107643846539,-14.9578797880183,NA
"25","2021-03-10",-2.19923145937744,3.52235133106909,-0.403121540556446,-74.6762634309085,-1.96648429916158,-3.22839940740655,-3.21520580690894,443.722352181372,-5.22772225916917,78.4099934322474,147.626856020009
"26","2021-03-24",-2.09234873640884,-7.67102376343596,-0.370573512882618,-62.3179045492154,-2.21854131196392,-11.4585474034034,-8.3053351212181,413.950053859358,-1.20873281305872,86.5870876732378,27.9714171810569
"27","2021-04-07",-0.133442406441932,-7.25945038203674,-0.0439844739839205,-94.0396916715968,-1.85722789699252,-17.775584903903,-0.773034620816211,-44.6587844793312,-0.210547312588844,4.16310097612851,NA
"28","2021-04-21",-3.98736533527024,-8.06026700084629,-0.110954009295456,-91.41019287299,-4.4769620003293,-19.2482298952301,4.48777433700935,-50.9104521404801,-0.543778246840185,11.8316107504989,100.807141826495
"29","2021-04-29",-14.7486601411249,11.3541649002948,NA,NA,-11.7629032238076,9.08715568928652,-80.0349614882131,-77.5244364796092,NA,NA,-27.9968473148683
"30","2021-05-05",-5.53599447311147,-62.7639237695366,5.23364309211909,-68.5623062928341,-3.36539300434647,-69.097884820126,5.55022382054314,-95.4343445198061,7.00754506139905,-34.7359385272433,136.045429654695
"31","2021-05-10",-3.77369587559242,-56.628258794824,NA,NA,NA,NA,NA,NA,NA,NA,88.5360667998695
"32","2021-05-18",-2.2263793879921,-21.6242990558962,-0.208850436014397,-83.7512067886303,-5.31358794148624,-35.1015232324292,-11.4101737848348,-52.4708085687356,0.0937390188205235,7.63854208178569,289.387728772051
"33","2021-06-01",-10.1843914810532,-32.0186369832636,-0.354621982237301,-97.7997425424375,-8.72197798921262,-43.058531139854,-17.3811941524631,-78.6060344165259,-1.02977533911241,-8.91338923592871,244.984463762729
"34","2021-06-09",-5.86913825784004,-9.06018588855976,NA,NA,-5.59191578000088,-12.5678256764629,5.10773009893371,-65.6899348180045,3.33616667935489,3.12765925550019,1289.42730366103
"35","2021-06-15",-2.42575440755506,-6.76591492378239,-0.574930165745972,-85.7665970141151,-3.48112226987709,-20.6582851915071,-5.88139816138076,-60.4173206222552,-2.39215550381606,36.6712711898375,3303.74707451102
"36","2021-06-29",-7.79827736976594,-0.173047661122657,-1.01293511382224,-96.6154827132806,-5.30435653589563,-10.1527821166676,-15.8165015205364,-90.382117961245,-5.80911580962817,25.5424219499009,268.811048797385
"37","2021-07-13",-4.58150105577735,13.6206896365587,-0.482681465755674,-97.5757084602853,-2.15365711110417,4.42191485119591,-8.03151539316397,-89.4972943949304,-2.30894375528565,-14.5294195496506,374.214662319683
"38","2021-07-17",NA,NA,NA,NA,6.5546639463579,-25.4935248709822,2.33634520664186,-98.1015258136579,-1.74521387460891,-35.8058553695767,2.02732808559964
"39","2021-07-27",-7.39016939993227,-27.0983924643147,-0.620086989054166,-95.7800158767428,-4.77991981898463,-45.3095712120751,-29.6200256626834,-76.8880280681208,-3.15471413801388,-1.52976357616604,298.444691133784
"40","2021-08-10",-1.92791133865243,-79.8948590924441,-0.217246835786579,-99.2755794588033,-1.62562856058941,-85.7956160453179,-24.5972574752785,-37.5840109134891,-1.42479932755015,-71.0217559332332,233.15071992205
"41","2021-08-25",NA,NA,NA,NA,-23.2275665617547,-99.5916699179568,-18.8409989746565,222.630112107918,-21.7456332616268,-84.0806936448005,216.784084120543
"42","2021-09-05",NA,NA,NA,NA,-19.6057719575553,-98.8301817589379,-19.3298672079951,-89.041991587471,-16.5431955010907,-74.4985437352481,645.335055929633
"43","2021-10-31",1.13245957644555,-70.2651871974859,-0.23774156003694,-84.9812498442467,-1.3208234589709,-89.4953874395489,1.79524193429656,-85.0501220213058,5.652232852918,-11.1255110784143,89.577773250437
"44","2021-11-14",-0.585713990696324,-46.1694087693607,-0.405707843664027,-94.6999313775948,2.16999768784984,-81.9395357847118,-17.4299541250499,-81.1590447680756,-12.1972445116875,17.2553142259893,-57.5732857180391
"45","2021-11-28",-7.5992678411762,-63.8967288494578,-0.398818967597188,-93.9676100388645,-6.53291359997789,-93.0551457606041,-9.23985949873063,-80.369940337176,-4.57759781130533,18.4181231945233,78.6163949130824
"46","2021-12-13",-4.37333807875384,-66.5326221241002,-0.407967372379488,-64.8407752069092,-3.26743703577273,-83.5230114355894,1.64969050390468,-88.3816520396288,-0.610870429129599,31.5484423186394,143.344735345191
